64

Device		5			Channel		4			
Start Test Time		2018.02.24 19:39:14			End Test Time					
Nda File Name		C:\Users\Hydrophilix\Desktop\TC53\_COM5\data\20180224_193914_06_4.nda								

Cycle Data
Cycle ID	Cap_Chg	Cap_DChg	RCap_Chg	RCap_DChg	Efficiency	Engy_Chg	Engy_DChg	
1	2.050	2.025	132.274	130.660	98.78	8.147	7.481	
2	2.025	2.020	130.641	130.325	99.76	8.064	7.456	
3	2.019	2.016	130.227	130.043	99.86	8.045	7.434	
4	2.017	2.016	130.141	130.068	99.94	8.040	7.446	
5	2.017	2.015	130.097	129.993	99.92	8.028	7.445	
6	2.013	2.011	129.895	129.740	99.88	8.017	7.424	
7	2.009	2.006	129.596	129.440	99.88	8.004	7.402	
8	2.005	2.004	129.349	129.265	99.94	7.994	7.389	
9	2.002	2.000	129.134	129.015	99.91	7.981	7.369	
10	2.000	1.999	129.016	128.992	99.98	7.974	7.377	
11	1.999	1.997	128.945	128.867	99.94	7.964	7.367	
12	1.995	1.995	128.727	128.692	99.97	7.957	7.356	
13	1.994	1.992	128.632	128.517	99.91	7.947	7.341	
14	1.988	1.987	128.279	128.192	99.93	7.935	7.312	
15	1.984	1.983	128.030	127.962	99.95	7.928	7.296	
16	1.982	1.982	127.888	127.890	100.00	7.920	7.294	
17	1.981	1.980	127.816	127.742	99.94	7.911	7.284	
18	1.977	1.976	127.579	127.491	99.93	7.904	7.263	
19	1.974	1.973	127.335	127.291	99.97	7.892	7.247	
20	1.971	1.970	127.137	127.091	99.96	7.884	7.232	
21	1.968	1.968	126.963	126.991	100.02	7.877	7.227	
22	1.971	1.973	127.166	127.291	100.10	7.879	7.266	
23	1.973	1.973	127.269	127.266	100.00	7.870	7.263	
24	1.971	1.970	127.140	127.116	99.98	7.866	7.250	
25	1.968	1.968	126.970	126.941	99.98	7.858	7.237	
26	1.966	1.965	126.808	126.791	99.99	7.851	7.226	
27	1.964	1.963	126.682	126.666	99.99	7.845	7.220	
28	1.964	1.964	126.686	126.741	100.04	7.841	7.230	
29	1.963	1.962	126.622	126.566	99.96	7.834	7.214	
30	1.959	1.959	126.416	126.391	99.98	7.826	7.202	
