82(new)

Device		5			Channel		2			
Start Test Time		2018.02.15 12:47:33			End Test Time													

Unit scheme
Cur	Vol	Cap	CmpCap	Energy	CmpEng	IR	Temperature	Time	
mA	mV	mAh	mAh/g	mWh	mWh/g	mO	?	AUTO	

Test Information
Start Step		1	Upper-limit Voltage		-	Battery Batch-number			
Cycle counts			Lower-limit Voltage		-	Creator			
Record Qualification		5sec / 0.0mA / 0.0mV	Upper-limit Current		-	Remark Information			
Voltage Measuring-range		5V	Lower-limit Current		-	Upper-limit temperature		-	
Current Constant		+10/-10mA	

Step setting scheme	
StepNum	StepType	Time(mm:ss)	Vol(V)	Cur(mA)	Cap(mAh)	—?V(mV)	Power(mW)	Load(mO)	Current_Over(mA)
1	CC_Chg		4.2000	1.395						
2	CV_Chg		4.2000	0.186						
3	Rest	30:00								
4	CC_DChg		2.7000	1.395						
5	Rest	30:00								
6	Cycle	Start Step: 1	Cycle Total: 500							
7	Stop									

Cycle Data
Cycle ID	Cap_Chg	Cap_DChg	RCap_Chg	RCap_DChg	Efficiency	Engy_Chg	Engy_DChg	
1	1.974	1.955	127.379	126.125	99.01	7.803	7.258	
2	1.957	1.951	126.239	125.895	99.73	7.743	7.240	
3	1.950	1.945	125.811	125.511	99.76	7.722	7.214	
4	1.945	1.940	125.494	125.190	99.76	7.706	7.194	
5	1.940	1.936	125.158	124.888	99.78	7.689	7.174	
6	1.938	1.936	125.032	124.879	99.88	7.680	7.182	
7	1.935	1.932	124.866	124.625	99.81	7.664	7.168	
8	1.923	1.928	124.069	124.400	100.27	7.618	7.150	
9	1.927	1.923	124.318	124.091	99.82	7.639	7.128	
10	1.922	1.920	124.004	123.840	99.87	7.624	7.110	
11	1.919	1.916	123.789	123.593	99.84	7.613	7.095	
12	1.917	1.916	123.678	123.600	99.94	7.604	7.101	
13	1.915	1.914	123.567	123.475	99.93	7.592	7.093	
14	1.912	1.908	123.349	123.125	99.82	7.581	7.067	
15	1.908	1.906	123.099	122.999	99.92	7.571	7.055	
16	1.905	1.903	122.887	122.797	99.93	7.562	7.042	
17	1.903	1.902	122.752	122.722	99.98	7.553	7.037	
18	1.902	1.901	122.705	122.650	99.95	7.549	7.036	
19	1.901	1.899	122.617	122.525	99.93	7.542	7.028	
20	1.897	1.896	122.417	122.349	99.94	7.532	7.014	
21	1.895	1.894	122.275	122.223	99.96	7.527	7.005	
22	1.893	1.892	122.158	122.049	99.91	7.521	6.992	
23	1.890	1.888	121.926	121.794	99.89	7.511	6.971	
24	1.888	1.888	121.793	121.811	100.02	7.507	6.978	
25	1.888	1.887	121.807	121.721	99.93	7.503	6.969	
26	1.886	1.885	121.700	121.588	99.91	7.496	6.961	
27	1.883	1.882	121.453	121.414	99.97	7.486	6.947	
28	1.881	1.880	121.324	121.288	99.97	7.482	6.936	
29	1.876	1.875	121.003	120.988	99.99	7.464	6.916	
30	1.875	1.875	120.939	120.967	100.02	7.461	6.919	
31	1.879	1.878	121.197	121.190	99.99	7.470	6.934	
32	1.877	1.876	121.091	121.044	99.96	7.467	6.923	
33	1.874	1.873	120.901	120.863	99.97	7.458	6.906	
